"ms_ensemblID","ms_ensemblID_version","ms_symbol","hu_ensemblID","hu_symbol","hu_ensemblID_version","date"
"ENSMUSG00000035133","ENSMUSG00000035133.10","Arhgap5","ENSG00000100852","ARHGAP5","ENSG00000100852.14",2024-08-25
"ENSMUSG00000024313","ENSMUSG00000024313.9","Mep1b","ENSG00000141434","MEP1B","ENSG00000141434.12",2024-08-25
"ENSMUSG00000042680","ENSMUSG00000042680.9","Garem1","ENSG00000141441","GAREM1","ENSG00000141441.16",2024-08-25
"ENSMUSG00000061603","ENSMUSG00000061603.9","Akap6","ENSG00000151320","AKAP6","ENSG00000151320.11",2024-08-25
"ENSMUSG00000024598","ENSMUSG00000024598.10","Fbn2","ENSG00000138829","FBN2","ENSG00000138829.14",2024-08-25
"ENSMUSG00000021010","ENSMUSG00000021010.10","Npas3","ENSG00000151322","NPAS3","ENSG00000151322.20",2024-08-25
"ENSMUSG00000035105","ENSMUSG00000035105.6","Egln3","ENSG00000129521","EGLN3","ENSG00000129521.15",2024-08-25
"ENSMUSG00000002020","ENSMUSG00000002020.16","Ltbp2","ENSG00000119681","LTBP2","ENSG00000119681.12",2024-08-25
"ENSMUSG00000033863","ENSMUSG00000033863.3","Klf9","ENSG00000119138","KLF9","ENSG00000119138.5",2024-08-25
"ENSMUSG00000042514","ENSMUSG00000042514.12","Klhl14","ENSG00000197705","KLHL14","ENSG00000197705.10",2024-08-25
"ENSMUSG00000025075","ENSMUSG00000025075.15","Habp2","ENSG00000148702","HABP2","ENSG00000148702.15",2024-08-25
"ENSMUSG00000024600","ENSMUSG00000024600.9","Slc27a6","ENSG00000113396","SLC27A6","ENSG00000113396.13",2024-08-25
"ENSMUSG00000024601","ENSMUSG00000024601.10","Isoc1","ENSG00000066583","ISOC1","ENSG00000066583.12",2024-08-25
"ENSMUSG00000053441","ENSMUSG00000053441.6","Adamts19","ENSG00000145808","ADAMTS19","ENSG00000145808.10",2024-08-25
"ENSMUSG00000041817","ENSMUSG00000041817.15","Fam169a","ENSG00000198780","FAM169A","ENSG00000198780.13",2024-08-25
"ENSMUSG00000024943","ENSMUSG00000024943.10","Smc5","ENSG00000198887","SMC5","ENSG00000198887.9",2024-08-25
"ENSMUSG00000024306","ENSMUSG00000024306.14","Ccdc178","ENSG00000166960","CCDC178","ENSG00000166960.17",2024-08-25
"ENSMUSG00000060739","ENSMUSG00000060739.9","Nsa2","ENSG00000164346","NSA2","ENSG00000164346.10",2024-08-25
"ENSMUSG00000017843","ENSMUSG00000017843.15","Ppp2r5c","ENSG00000078304","PPP2R5C","ENSG00000078304.20",2024-08-25
"ENSMUSG00000021359","ENSMUSG00000021359.17","Tfap2a","ENSG00000137203","TFAP2A","ENSG00000137203.15",2024-08-25
"ENSMUSG00000050875","ENSMUSG00000050875.12","Minar2","ENSG00000186367","MINAR2","ENSG00000186367.7",2024-08-25
"ENSMUSG00000058152","ENSMUSG00000058152.9","Chsy3","ENSG00000198108","CHSY3","ENSG00000198108.4",2024-08-25
"ENSMUSG00000033207","ENSMUSG00000033207.8","Mamdc2","ENSG00000165072","MAMDC2","ENSG00000165072.10",2024-08-25
"ENSMUSG00000021360","ENSMUSG00000021360.17","Gcnt2","ENSG00000111846","GCNT2","ENSG00000111846.20",2024-08-25
"ENSMUSG00000038059","ENSMUSG00000038059.8","Smim3","ENSG00000256235","SMIM3","ENSG00000256235.3",2024-08-25
"ENSMUSG00000033053","ENSMUSG00000033053.5","Cfap95","ENSG00000204711","CFAP95","ENSG00000204711.9",2024-08-25
"ENSMUSG00000024603","ENSMUSG00000024603.9","Dctn4","ENSG00000132912","DCTN4","ENSG00000132912.13",2024-08-25
"ENSMUSG00000042350","ENSMUSG00000042350.14","Arel1","ENSG00000119682","AREL1","ENSG00000119682.18",2024-08-25
"ENSMUSG00000074925","ENSMUSG00000074925.5","Ptar1","ENSG00000188647","PTAR1","ENSG00000188647.13",2024-08-25
"ENSMUSG00000041138","ENSMUSG00000041138.17","Nme8","ENSG00000086288","NME8","ENSG00000086288.12",2024-08-25
"ENSMUSG00000024897","ENSMUSG00000024897.10","Apba1","ENSG00000107282","APBA1","ENSG00000107282.9",2024-08-25
"ENSMUSG00000071604","ENSMUSG00000071604.6","Entrep1","ENSG00000135063","ENTREP1","ENSG00000135063.20",2024-08-25
"ENSMUSG00000041923","ENSMUSG00000041923.16","Nol4","ENSG00000101746","NOL4","ENSG00000101746.16",2024-08-25
"ENSMUSG00000024812","ENSMUSG00000024812.12","Tjp2","ENSG00000119139","TJP2","ENSG00000119139.21",2024-08-25
"ENSMUSG00000038683","ENSMUSG00000038683.17","Pak1ip1","ENSG00000111845","PAK1IP1","ENSG00000111845.5",2024-08-25
"ENSMUSG00000018707","ENSMUSG00000018707.14","Dync1h1","ENSG00000197102","DYNC1H1","ENSG00000197102.14",2024-08-25
"ENSMUSG00000024604","ENSMUSG00000024604.8","Rbm22","ENSG00000086589","RBM22","ENSG00000086589.12",2024-08-25
"ENSMUSG00000021361","ENSMUSG00000021361.8","Tmem14c","ENSG00000111843","TMEM14C","ENSG00000111843.14",2024-08-25
"ENSMUSG00000059632","ENSMUSG00000059632.5","Krtap8-1","ENSG00000183640","KRTAP8-1","ENSG00000183640.6",2024-08-25
"ENSMUSG00000056706","ENSMUSG00000056706.4","Krtap7-1","ENSG00000274749","KRTAP7-1","ENSG00000274749.1",2024-08-25
"ENSMUSG00000091212","ENSMUSG00000091212.2","Krtap11-1","ENSG00000182591","KRTAP11-1","ENSG00000182591.6",2024-08-25
"ENSMUSG00000044117","ENSMUSG00000044117.13","Bmerb1","ENSG00000166780","BMERB1","ENSG00000166780.11",2024-08-25
"ENSMUSG00000053101","ENSMUSG00000053101.4","Gpr141","ENSG00000187037","GPR141","ENSG00000187037.9",2024-08-25
"ENSMUSG00000024302","ENSMUSG00000024302.17","Dtna","ENSG00000134769","DTNA","ENSG00000134769.23",2024-08-25
"ENSMUSG00000022827","ENSMUSG00000022827.15","Rabl3","ENSG00000144840","RABL3","ENSG00000144840.10",2024-08-25
"ENSMUSG00000059363","ENSMUSG00000059363.11","Fxn","ENSG00000165060","FXN","ENSG00000165060.15",2024-08-25
"ENSMUSG00000021243","ENSMUSG00000021243.15","Fcf1","ENSG00000119616","FCF1","ENSG00000119616.11",2024-08-25
"ENSMUSG00000041112","ENSMUSG00000041112.18","Elmo1","ENSG00000155849","ELMO1","ENSG00000155849.16",2024-08-25
"ENSMUSG00000024867","ENSMUSG00000024867.15","Pip5k1b","ENSG00000107242","PIP5K1B","ENSG00000107242.20",2024-08-25
"ENSMUSG00000022821","ENSMUSG00000022821.14","Hgd","ENSG00000113924","HGD","ENSG00000113924.12",2024-08-25
"ENSMUSG00000021270","ENSMUSG00000021270.14","Hsp90aa1","ENSG00000080824","HSP90AA1","ENSG00000080824.19",2024-08-25
"ENSMUSG00000022820","ENSMUSG00000022820.5","Ndufb4","ENSG00000065518","NDUFB4","ENSG00000065518.8",2024-08-25
"ENSMUSG00000060657","ENSMUSG00000060657.9","Marf1","ENSG00000166783","MARF1","ENSG00000166783.22",2024-08-25
"ENSMUSG00000074922","ENSMUSG00000074922.2","Pabir1","ENSG00000187866","PABIR1","ENSG00000187866.10",2024-08-25
"ENSMUSG00000048572","ENSMUSG00000048572.6","Tmem252","ENSG00000181778","TMEM252","ENSG00000181778.5",2024-08-25
"ENSMUSG00000041731","ENSMUSG00000041731.14","Pgm5","ENSG00000154330","PGM5","ENSG00000154330.13",2024-08-25
"ENSMUSG00000021322","ENSMUSG00000021322.9","Aoah","ENSG00000136250","AOAH","ENSG00000136250.12",2024-08-25
"ENSMUSG00000070074","ENSMUSG00000070074.3","Mir484","ENSG00000283736","MIR484","ENSG00000283736.1",2024-08-25
"ENSMUSG00000022816","ENSMUSG00000022816.12","Fstl1","ENSG00000163430","FSTL1","ENSG00000163430.13",2024-08-25
"ENSMUSG00000020593","ENSMUSG00000020593.17","Lpin1","ENSG00000134324","LPIN1","ENSG00000134324.12",2024-08-25
"ENSMUSG00000049134","ENSMUSG00000049134.16","Nrap","ENSG00000197893","NRAP","ENSG00000197893.14",2024-08-25
"ENSMUSG00000108763","ENSMUSG00000108763.2","Btnl12","ENSG00000026950","BTN3A1","ENSG00000026950.17",2024-08-25
"ENSMUSG00000024277","ENSMUSG00000024277.15","Mapre2","ENSG00000166974","MAPRE2","ENSG00000166974.13",2024-08-25
"ENSMUSG00000034158","ENSMUSG00000034158.10","Lrrc58","ENSG00000163428","LRRC58","ENSG00000163428.4",2024-08-25
"ENSMUSG00000046961","ENSMUSG00000046961.9","Gpr156","ENSG00000175697","GPR156","ENSG00000175697.11",2024-08-25
"ENSMUSG00000021363","ENSMUSG00000021363.15","Mak","ENSG00000111837","MAK","ENSG00000111837.12",2024-08-25
"ENSMUSG00000022812","ENSMUSG00000022812.15","Gsk3b","ENSG00000082701","GSK3B","ENSG00000082701.17",2024-08-25
"ENSMUSG00000024276","ENSMUSG00000024276.8","Zfp397","ENSG00000186812","ZNF397","ENSG00000186812.13",2024-08-25
"ENSMUSG00000022678","ENSMUSG00000022678.17","Nde1","ENSG00000072864","NDE1","ENSG00000072864.16",2024-08-25
"ENSMUSG00000051469","ENSMUSG00000051469.15","Zfp24","ENSG00000172466","ZNF24","ENSG00000172466.16",2024-08-25
"ENSMUSG00000047989","ENSMUSG00000047989.12","Ino80c","ENSG00000153391","INO80C","ENSG00000153391.16",2024-08-25
"ENSMUSG00000000420","ENSMUSG00000000420.16","Galnt1","ENSG00000141429","GALNT1","ENSG00000141429.14",2024-08-25
"ENSMUSG00000021666","ENSMUSG00000021666.17","Gfm2","ENSG00000164347","GFM2","ENSG00000164347.18",2024-08-25
"ENSMUSG00000002489","ENSMUSG00000002489.17","Tiam1","ENSG00000156299","TIAM1","ENSG00000156299.15",2024-08-25
"ENSMUSG00000065532","ENSMUSG00000065532.3","Mir187","ENSG00000207797","MIR187","ENSG00000207797.1",2024-08-25
"ENSMUSG00000024273","ENSMUSG00000024273.9","2700062C07Rik","ENSG00000141428","C18orf21","ENSG00000141428.17",2024-08-25
"ENSMUSG00000040446","ENSMUSG00000040446.5","Rprd1a","ENSG00000141425","RPRD1A","ENSG00000141425.18",2024-08-25
"ENSMUSG00000024619","ENSMUSG00000024619.9","Cdx1","ENSG00000113722","CDX1","ENSG00000113722.18",2024-08-25
"ENSMUSG00000024620","ENSMUSG00000024620.12","Pdgfrb","ENSG00000113721","PDGFRB","ENSG00000113721.14",2024-08-25
"ENSMUSG00000020591","ENSMUSG00000020591.12","Ntsr2","ENSG00000169006","NTSR2","ENSG00000169006.7",2024-08-25
"ENSMUSG00000021244","ENSMUSG00000021244.16","Ylpm1","ENSG00000119596","YLPM1","ENSG00000119596.18",2024-08-25
"ENSMUSG00000022982","ENSMUSG00000022982.11","Sod1","ENSG00000142168","SOD1","ENSG00000142168.15",2024-08-25
"ENSMUSG00000025076","ENSMUSG00000025076.13","Casp7","ENSG00000165806","CASP7","ENSG00000165806.21",2024-08-25
"ENSMUSG00000024621","ENSMUSG00000024621.17","Csf1r","ENSG00000182578","CSF1R","ENSG00000182578.14",2024-08-25
"ENSMUSG00000022983","ENSMUSG00000022983.17","Scaf4","ENSG00000156304","SCAF4","ENSG00000156304.15",2024-08-25
"ENSMUSG00000052085","ENSMUSG00000052085.8","Dock8","ENSG00000107099","DOCK8","ENSG00000107099.18",2024-08-25
"ENSMUSG00000056458","ENSMUSG00000056458.17","Mok","ENSG00000080823","MOK","ENSG00000080823.23",2024-08-25
"ENSMUSG00000042320","ENSMUSG00000042320.18","Prox2","ENSG00000119608","PROX2","ENSG00000119608.15",2024-08-25
"ENSMUSG00000024622","ENSMUSG00000024622.9","Hmgxb3","ENSG00000113716","HMGXB3","ENSG00000113716.13",2024-08-25
"ENSMUSG00000021665","ENSMUSG00000021665.10","Hexb","ENSG00000049860","HEXB","ENSG00000049860.14",2024-08-25
"ENSMUSG00000032702","ENSMUSG00000032702.17","Kank1","ENSG00000107104","KANK1","ENSG00000107104.21",2024-08-25
"ENSMUSG00000021271","ENSMUSG00000021271.6","Zfp839","ENSG00000022976","ZNF839","ENSG00000022976.16",2024-08-25
"ENSMUSG00000056380","ENSMUSG00000056380.14","Gpr50","ENSG00000102195","GPR50","ENSG00000102195.10",2024-08-25
"ENSMUSG00000041773","ENSMUSG00000041773.9","Enc1","ENSG00000171617","ENC1","ENSG00000171617.16",2024-08-25
"ENSMUSG00000053414","ENSMUSG00000053414.9","Hunk","ENSG00000142149","HUNK","ENSG00000142149.9",2024-08-25
"ENSMUSG00000024837","ENSMUSG00000024837.16","Dmrt1","ENSG00000137090","DMRT1","ENSG00000137090.12",2024-08-25
"ENSMUSG00000033965","ENSMUSG00000033965.11","Slc16a2","ENSG00000147100","SLC16A2","ENSG00000147100.11",2024-08-25
"ENSMUSG00000034320","ENSMUSG00000034320.15","Slc26a2","ENSG00000155850","SLC26A2","ENSG00000155850.9",2024-08-25
"ENSMUSG00000042372","ENSMUSG00000042372.6","Dmrt3","ENSG00000064218","DMRT3","ENSG00000064218.5",2024-08-25
"ENSMUSG00000048138","ENSMUSG00000048138.11","Dmrt2","ENSG00000173253","DMRT2","ENSG00000173253.16",2024-08-25
"ENSMUSG00000022978","ENSMUSG00000022978.12","Mis18a","ENSG00000159055","MIS18A","ENSG00000159055.4",2024-08-25
"ENSMUSG00000034295","ENSMUSG00000034295.11","Fhod3","ENSG00000134775","FHOD3","ENSG00000134775.16",2024-08-25
"ENSMUSG00000021366","ENSMUSG00000021366.9","Hivep1","ENSG00000095951","HIVEP1","ENSG00000095951.17",2024-08-25
"ENSMUSG00000039956","ENSMUSG00000039956.10","Mrap","ENSG00000170262","MRAP","ENSG00000170262.13",2024-08-25
"ENSMUSG00000025078","ENSMUSG00000025078.10","Nhlrc2","ENSG00000196865","NHLRC2","ENSG00000196865.4",2024-08-25
"ENSMUSG00000073131","ENSMUSG00000073131.13","Vma21","ENSG00000160131","VMA21","ENSG00000160131.14",2024-08-25
"ENSMUSG00000039929","ENSMUSG00000039929.15","Urb1","ENSG00000142207","URB1","ENSG00000142207.7",2024-08-25
"ENSMUSG00000021276","ENSMUSG00000021276.11","Cinp","ENSG00000100865","CINP","ENSG00000100865.15",2024-08-25
"ENSMUSG00000021367","ENSMUSG00000021367.9","Edn1","ENSG00000078401","EDN1","ENSG00000078401.7",2024-08-25
"ENSMUSG00000035283","ENSMUSG00000035283.6","Adrb1","ENSG00000043591","ADRB1","ENSG00000043591.6",2024-08-25
"ENSMUSG00000035173","ENSMUSG00000035173.15","Ccdc186","ENSG00000165813","CCDC186","ENSG00000165813.20",2024-08-25
"ENSMUSG00000041380","ENSMUSG00000041380.14","Htr2c","ENSG00000147246","HTR2C","ENSG00000147246.10",2024-08-25
"ENSMUSG00000004789","ENSMUSG00000004789.11","Dlst","ENSG00000119689","DLST","ENSG00000119689.15",2024-08-25
"ENSMUSG00000024855","ENSMUSG00000024855.11","Pacs1","ENSG00000175115","PACS1","ENSG00000175115.13",2024-08-25
"ENSMUSG00000021662","ENSMUSG00000021662.12","Arhgef28","ENSG00000214944","ARHGEF28","ENSG00000214944.10",2024-08-25
"ENSMUSG00000018830","ENSMUSG00000018830.11","Myh11","ENSG00000133392","MYH11","ENSG00000133392.18",2024-08-25
"ENSMUSG00000056537","ENSMUSG00000056537.12","Rlim","ENSG00000131263","RLIM","ENSG00000131263.13",2024-08-25
"ENSMUSG00000036061","ENSMUSG00000036061.11","Smug1","ENSG00000123415","SMUG1","ENSG00000123415.16",2024-08-25
"ENSMUSG00000068114","ENSMUSG00000068114.8","Ccdc134","ENSG00000100147","CCDC134","ENSG00000100147.14",2024-08-25
"ENSMUSG00000077767","ENSMUSG00000077767.3","Snora35","ENSG00000208839","SNORA35","ENSG00000208839.1",2024-08-25
"ENSMUSG00000064876","ENSMUSG00000064876.3","Gm23378","ENSG00000202017","RNU6-806P","ENSG00000202017.1",2024-08-25
"ENSMUSG00000073130","ENSMUSG00000073130.11","Gm1141","ENSG00000166049","PASD1","ENSG00000166049.11",2024-08-25
"ENSMUSG00000065450","ENSMUSG00000065450.3","Mir448","ENSG00000199001","MIR448","ENSG00000199001.1",2024-08-25
"ENSMUSG00000024575","ENSMUSG00000024575.17","Pde6a","ENSG00000132915","PDE6A","ENSG00000132915.12",2024-08-25
"ENSMUSG00000024853","ENSMUSG00000024853.11","Sf3b2","ENSG00000087365","SF3B2","ENSG00000087365.16",2024-08-25
"ENSMUSG00000022155","ENSMUSG00000022155.10","Mroh2b","ENSG00000171495","MROH2B","ENSG00000171495.17",2024-08-25
"ENSMUSG00000033361","ENSMUSG00000033361.14","Prrg3","ENSG00000130032","PRRG3","ENSG00000130032.17",2024-08-25
"ENSMUSG00000046449","ENSMUSG00000046449.16","Nexmif","ENSG00000050030","NEXMIF","ENSG00000050030.16",2024-08-25
"ENSMUSG00000036523","ENSMUSG00000036523.17","Greb1","ENSG00000196208","GREB1","ENSG00000196208.14",2024-08-25
"ENSMUSG00000024269","ENSMUSG00000024269.12","Tpgs2","ENSG00000134779","TPGS2","ENSG00000134779.15",2024-08-25
"ENSMUSG00000053593","ENSMUSG00000053593.11","Fate1","ENSG00000147378","FATE1","ENSG00000147378.11",2024-08-25
"ENSMUSG00000031289","ENSMUSG00000031289.11","Il13ra2","ENSG00000123496","IL13RA2","ENSG00000123496.8",2024-08-25
"ENSMUSG00000033871","ENSMUSG00000033871.15","Ppargc1b","ENSG00000155846","PPARGC1B","ENSG00000155846.17",2024-08-25
"ENSMUSG00000009575","ENSMUSG00000009575.15","Cbx5","ENSG00000094916","CBX5","ENSG00000094916.16",2024-08-25
"ENSMUSG00000047658","ENSMUSG00000047658.7","Gal3st3","ENSG00000175229","GAL3ST3","ENSG00000175229.7",2024-08-25
"ENSMUSG00000038498","ENSMUSG00000038498.5","Catsper1","ENSG00000175294","CATSPER1","ENSG00000175294.6",2024-08-25
"ENSMUSG00000005864","ENSMUSG00000005864.8","Cnga2","ENSG00000183862","CNGA2","ENSG00000183862.6",2024-08-25
"ENSMUSG00000024846","ENSMUSG00000024846.7","Cst6","ENSG00000175315","CST6","ENSG00000175315.3",2024-08-25
"ENSMUSG00000079105","ENSMUSG00000079105.5","C7","ENSG00000112936","C7","ENSG00000112936.21",2024-08-25
"ENSMUSG00000041849","ENSMUSG00000041849.8","Card6","ENSG00000132357","CARD6","ENSG00000132357.14",2024-08-25
